L_id	headword	headword_slp1	root	root_slp1	prefixes	karaka	karaka_sense	affix	affix_slp1	group	anubandha	anubandha_steps	affix_source	context
4838	unmāthaḥ	unmATaH	māraṇādipakṣe	mAraRAdipakze		BAve	action / abstract (bhāve)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	eneti . ut + maTa + GaY . mAraRAdipakze BAve GaY .) k
4868	upakramaḥ	upakramaH	ityupakramaḥ	ityupakramaH		karmaRi	object (karmaṇi)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	iti raGuH . “upa- kramyate ityupakramaH karmmaRi GaY . rA
4879	upaghātaḥ	upaGAtaH	hana	hana	upa	karaRe	instrument (karaṇe)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	, puM, (upahanyate anena . upa + hana + karaRe GaY .) r
4879	upaghātaḥ	upaGAtaH				BAve	action / abstract (bhāve)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	Re GaY .) rogaH . iti rAjanirGaRwaH .. (BAve GaY . vi
4896	upajñā	upajYA				karmaRi	object (karmaṇi)	aṅ	aN	Other	uncurated affix 'aṅ' | it-letters: nit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)		generic-decoder	e . jYA avaboDane . Ata- Scopasarge iti karmmaRi aN .) A
4901	upadaṃśaḥ	upadaMSaH	daṃśa	daMSa	upa	karmaRi	object (karmaṇi)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	¦, puM, (upadaSyate iti . upa + daMSa + karmmaRi GaY .) m
4917	upadhānaṃ	upaDAnaM			upa	aDikaraRe	location (adhikaraṇe)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	yate Aropyate mastakamatra . upa + DA + aDikaraRe lyuw .) S
4932	upaniṣkaraṃ	upanizkaraM	kṛ	kf		karmaRi	object (karmaṇi)	ap	ap	Agent — the doer	kṛt affix 'ap' -> -a; action / agent noun | anubandha: p = pit -> anudātta affix (3.1.4)		WIL	anizkI- ryyate sEnyErhanyate iti . kf + karmmaRi ap . id
5082	upāsanaṃ	upAsanaM	kṣepe	kzepe		aDikaraRe	location (adhikaraṇe)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	kzipyante SarA atra . upa + asu kzepe + aDikaraRe lyuw . Su
5099	upoṣitaṃ	upozitaM	vas	vas	upa	BAve	action / abstract (bhāve)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	upozitaM¦, klI, (upa + vas + BAve kta .) u
5271	ūtiḥ	UtiH				karmaRi	object (karmaṇi)	ktin	ktin	Action / result noun	kṛt affix 'ktin' -> -ti; action noun (fem. -ti) | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it ; n = it ; → -ti	Apte-SH(affix_map.tsv)	2 .. “uruzyantam mADvI dasnA na UtIH” . karmmaRi ktin . pu
5434	ṝḥ	FH	ṝ	F		BAve	action / abstract (bhāve)	kvip	kvip	Bare root / zero affix	kṛt affix 'kvip' -> -∅; zero affix -> root used directly as a noun | anubandha: k,v,i,p all it -> the whole affix elides (6.1.67)		WIL	FH¦, strI, devamAtA . dAnavamAtA . (F + BAve kvip .) s
5551	edhaḥ	eDaH				karaRe	instrument (karaṇe)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	iH . inDa + “halaSca” 3 . 3 . 121 . iti karaRe GaY . av
5589	aikyaṃ	EkyaM	eka	eka		BAve	action / abstract (bhāve)	ṣyañ	zyaY	Abstract quality — “-ness”	taddhita affix 'ṣyañ' -> -ya; abstract "-ness/-hood" -ya (vṛddhi) | anubandha: sit (.s): feminine is formed with nis -i (4.1.41); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	ṣ = it (initial) ; ñ = it (→ vṛddhi) ; → -ya	Apte-SH(affix_map.tsv)	EkyaM¦, klI, (eka + BAve zyaY .) e
5747	kaṃsajit	kaMsajit	ji	ji		kartari	agent (kartari)	kvip	kvip	Bare root / zero affix	kṛt affix 'kvip' -> -∅; zero affix -> root used directly as a noun | anubandha: k,v,i,p all it -> the whole affix elides (6.1.67)		WIL	(kaMsaM jayati jitavAn vA kaMsa + ji + karttari kvip .) S
5769	kakubhādanī	kakuBAdanI	ad	ad		karmaRi	object (karmaṇi)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	yate'sO tulya- guRatvAt . kakuBa + ad + karmmaRi lyuw + st
5792	kaṅkaṇaṃ	kaNkaRaM	śabde	Sabde		kartari	agent (kartari)	ac	ac	Agent — the doer	kṛt affix 'ac' -> -a; agent / action -a | anubandha: cit: final acute accent, antodatta (6.1.163)	c = it ; → -a	Apte-SH(affix_map.tsv)	(kaM SuBaM kaRatIti . ka + kaRa Sabde + karttari ac-pfzo
5822	kaṅgunī	kaNgunI	bāhulakāt	bAhulakAt	nī	karmaRi	object (karmaṇi)	ḍa	qa	Agent — the doer	kṛt affix 'ḍa' -> -a; agent noun (esp. after an upapada) | anubandha: ḍ = ḍit -> the ṭi of the base is elided (6.4.143)		WIL	Ayate ityarTaH . kaNga + nI + bAhulakAt karmmaRi qaH . gO
5824	kaṅgulaḥ	kaNgulaH	ghañarthe	GaYarTe		karaRe	instrument (karaṇe)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	ti anena kaNgu + lA + bAhulakAt GaYarTe karaRe kaH .) p
5828	kacaḥ	kacaH	bandhe	banDe		karmaRi	object (karmaṇi)	ap	ap	Agent — the doer	kṛt affix 'ap' -> -a; action / agent noun | anubandha: p = pit -> anudātta affix (3.1.4)		WIL	dyac . kacyate baDyate iti kaca banDe + karmmaRi ap vA .
5849	kacchaṭikā	kacCawikA	aṭ	aw		karmaRi	object (karmaṇi)	ap	ap	Agent — the doer	kṛt affix 'ap' -> -a; action / agent noun | anubandha: p = pit -> anudātta affix (3.1.4)		WIL	aviSezeRa awyate prApyate jYAyate vA aw karmmaRi ap . ta
5850	kacchapaḥ	kacCapaH	pā	pA		kartari	agent (kartari)	ḍa	qa	Agent — the doer	kṛt affix 'ḍa' -> -a; agent noun (esp. after an upapada) | anubandha: ḍ = ḍit -> the ṭi of the base is elided (6.4.143)		WIL	e pAti AtmAnaM rakzatIti . kacCa + pA + karttari qaH .) s
5863	kacchoraṃ	kacCoraM	lepe	lepe		karmaRi	object (karmaṇi)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	Curyyate lipyate iti . ka + Cura lepe + karmmaRi GaY .) S
5865	kaja	kaja				BAve	action / abstract (bhāve)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	YjAraH . ruho janma . kfdDoH kaBAve iti BAve kaH . it
5875	kañcāraḥ	kaYcAraH	kacer	kacer		BAve	action / abstract (bhāve)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	kaYcAraH¦, puM, (kacerBAve GaY kaYc
5882	kañjaṃ	kaYjaM	janeḥ	janeH		kartari	agent (kartari)	ḍa	qa	Agent — the doer	kṛt affix 'ḍa' -> -a; agent noun (esp. after an upapada) | anubandha: ḍ = ḍit -> the ṭi of the base is elided (6.4.143)		WIL	ti iti sUcyate . kam jale jAtam . janeH karttari qaH .) a
5884	kañjakaḥ	kaYjakaH	kaji	kaji		kartari	agent (kartari)	ṇvul	Rvul	Agent — the doer	kṛt affix 'ṇvul' -> -aka; agent noun (vṛddhi) | anubandha: nit (.n): causes vrddhi of the base vowel (7.2.115-117); indicatory u: distinguishes the affix; conditions i.t in some forms; lit: acute on the vowel just before the it-letter (6.1.193)	ṇ = it (→ vṛddhi) ; l = it ; vu → aka (P.7.1.1) ; → -aka	Apte-SH(affix_map.tsv)	at prAyeRoccArayituM SaknItIti . kaji + karttari Rvul .) p
5885	kañjajaḥ	kaYjajaH	jana	jana		kartari	agent (kartari)	ḍa	qa	Agent — the doer	kṛt affix 'ḍa' -> -a; agent noun (esp. after an upapada) | anubandha: ḍ = ḍit -> the ṭi of the base is elided (6.4.143)		WIL	(kaYjAt vizRornABipadmAt jAtaH . jana + karttari qaH .) b
5899	kaṭakolaḥ	kawakolaH	saṃstyāne	saMstyAne		aDikaraRe	location (adhikaraṇe)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	a kolaH GanIBAvo yatra . kula saMstyAne aDikaraRe GaY .) n
6008	kaḍakaṃ	kaqakaM				karmaRi	object (karmaṇi)	ap	ap	Agent — the doer	kṛt affix 'ap' -> -a; action / agent noun | anubandha: p = pit -> anudātta affix (3.1.4)		WIL	e iti . kaqa adane + ac saMjYAyAM kan . karmmaRi ap svAr
6033	kaṇitaṃ	kaRitaM	ārttanāde	ArttanAde		BAve	action / abstract (bhāve)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	kaRitaM¦, klI, (kaRa ArttanAde + BAve ktaH .) p
6044	kaṇṭakaprāvṛtā	kaRwakaprAvftA	vṛ	vf	pra ā	karmaRi	object (karmaṇi)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	AvftA vyAptA . kaRwaka + pra + A + vf + karmmaRi kta + wA
6098	kaṇḍanī	kaRqanI	kaḍi	kaqi		karaRe	instrument (karaṇe)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	kaRqyate tuzAdirapanIyate'nayA . kaqi + karaRe lyuw . NI
6106	kaṇḍūtiḥ	kaRqUtiH	kaṇḍaya	kaRqaya		BAve	action / abstract (bhāve)	ktin	ktin	Action / result noun	kṛt affix 'ktin' -> -ti; action noun (fem. -ti) | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it ; n = it ; → -ti	Apte-SH(affix_map.tsv)	kaRqUtiH¦, strI, (kaRqaya + BAve ktin . al
6107	kaṇḍūyanaṃ	kaRqUyanaM	kaṇḍūya	kaRqUya		BAve	action / abstract (bhāve)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	kaRqUyanaM¦, klI, (kaRqUya + BAve lyuw .) k
6131	kathakaḥ	kaTakaH	katha	kaTa		kartari	agent (kartari)	ṇvul	Rvul	Agent — the doer	kṛt affix 'ṇvul' -> -aka; agent noun (vṛddhi) | anubandha: nit (.n): causes vrddhi of the base vowel (7.2.115-117); indicatory u: distinguishes the affix; conditions i.t in some forms; lit: acute on the vowel just before the it-letter (6.1.193)	ṇ = it (→ vṛddhi) ; l = it ; vu → aka (P.7.1.1) ; → -aka	Apte-SH(affix_map.tsv)	kaTakaH¦, tri, (kaTayati yaH . kaTa + karttari Rvul .) v
6133	kathaṅkathikatā	kaTaNkaTikatA	kathaṅkathika	kaTaNkaTika		BAve	action / abstract (bhāve)	tal	tal	Abstract quality — “-ness”	taddhita affix 'tal' -> -tā; abstract noun "-ness" (f.) | anubandha: tit: svarita accent on the affix (6.1.185); lit: acute on the vowel just before the it-letter (6.1.193)	l = it ; → -tā (fem.)	Apte-SH(affix_map.tsv)	kaTaNkaTikatA¦, strI, (kaTaNkaTika + BAve tal .) p
6139	kathitaḥ	kaTitaH	katha	kaTa		BAve	action / abstract (bhāve)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	vistAro BavatA somasUryyayoH” .. kaTa + BAve ktaH . ka
6146	kadanaṃ	kadanaM	kad	kad		karaRe	instrument (karaṇe)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	te duHKaMprApyate'nena vA . kad + Ric + karaRe lyuw . Ga
6146	kadanaṃ	kadanaM				BAve	action / abstract (bhāve)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	uw . GawAditvAt na vfdDiH . kadyate iti BAve lyuw . ka
6201	kanīyasaṃ	kanIyasaM	ghañarthe	GaYarTe		karmaRi	object (karmaṇi)	ka	ka	Other	taddhita/kṛt affix 'ka' -> -ka; -ka | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca)	→ -ka	Apte-SH(affix_map.tsv)	ena sIyate avasIyate iti . so + GaYarTe karmmaRi kaH . sU
6213	kandaraṃ	kandaraM	vidāre	vidAre		karmaRi	object (karmaṇi)	ap	ap	Agent — the doer	kṛt affix 'ap' -> -a; action / agent noun | anubandha: p = pit -> anudātta affix (3.1.4)		WIL	, (kena jalena dIryyate . dF + vidAre + karmmaRi ap . ka
6214	kandaraḥ	kandaraH	dṝ	dF		karmaRi	object (karmaṇi)	ap	ap	Agent — the doer	kṛt affix 'ap' -> -a; action / agent noun | anubandha: p = pit -> anudātta affix (3.1.4)		WIL	a jalena drIryyate vidIryyate'sO . dF + karmmaRi ap .) g
6215	kandaraḥ	kandaraH	dṝ	dF		karaRe	instrument (karaṇe)	ap	ap	Agent — the doer	kṛt affix 'ap' -> -a; action / agent noun | anubandha: p = pit -> anudātta affix (3.1.4)		WIL	, (kaM mAtaNgaSiro dIryyate'nena . dF + karaRe ap .) a
6252	kannaṃ	kannaM	gatyāṃ	gatyAM		karaRe	instrument (karaṇe)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	te prApyate duHKamanena . kana gatyAM + karaRe ktaH .) p
6254	kanyakājātaḥ	kanyakAjAtaH	jana	jana		kartari	agent (kartari)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	kAyAM anUQAyAM jAtaH . kanyakA + jana + karttari ktaH .) a
6261	kanyāṭaḥ	kanyAwaH	dhi	Di		karaRe	instrument (karaṇe)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	, (kanyA awati atra . kanyA + aw + a- DikaraRe GaY .) v
6276	kaparddaḥ	kaparddaH	sampadāditvāt	sampadAditvAt		BAve	action / abstract (bhāve)	kvip	kvip	Bare root / zero affix	kṛt affix 'kvip' -> -∅; zero affix -> root used directly as a noun | anubandha: k,v,i,p all it -> the whole affix elides (6.1.67)		WIL	H¦, puM, (parbba pUraRe + sampadAditvAt BAve kvip . “r
6341	kapotapālikā	kapotapAlikA	rakṣaṇe	rakzaRe		kartari	agent (kartari)	ṇvul	Rvul	Agent — the doer	kṛt affix 'ṇvul' -> -aka; agent noun (vṛddhi) | anubandha: nit (.n): causes vrddhi of the base vowel (7.2.115-117); indicatory u: distinguishes the affix; conditions i.t in some forms; lit: acute on the vowel just before the it-letter (6.1.193)	ṇ = it (→ vṛddhi) ; l = it ; vu → aka (P.7.1.1) ; → -aka	Apte-SH(affix_map.tsv)	¦, strI, (pAlayati iti . pAla rakzaRe + karttari Rvul . ka
6343	kapotavaṅkā	kapotavaNkA	vanca	vanca		karaRe	instrument (karaṇe)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	oto vaYcyate pratAryyate'nayA . vanca + karaRe GaY kutv
6376	kamanaṃ	kamanaM	niṅ	niN		BAve	action / abstract (bhāve)	yuc	yuc	Agent — the doer	kṛt affix 'yuc' -> -ana; agent / action noun (yu -> ana) | anubandha: c = cit -> final acute accent (6.1.163)		WIL	kamanaM¦, tri, (kama + niNBAve yuc . an
6379	kamanīyaṃ	kamanIyaM	kameḥ	kameH		karmaRi	object (karmaṇi)	anīyar	anIyar	Participle	kṛt affix 'anīyar' -> -anīya; future passive participle ('fit to be done') | anubandha: r indicatory -> accent; gerundive		WIL	kamanIyaM¦, tri, (kAmyate yat kameH karmmaRi anIyar .) k
6389	kamitā	kamitA	ṇiṅa	RiNa		BAve	action / abstract (bhāve)	tṛc	tfc	Agent — the doer	kṛt affix 'tṛc' -> -tṛ; agent noun (-tṛ/-tar) | anubandha: tit: svarita accent on the affix (6.1.185); indicatory .r; cit: final acute accent, antodatta (6.1.163)	c = it (P.1.3.3) ; → -tṛ	Apte-SH(affix_map.tsv)	kamitA¦, [f] tri, (kama + RiNaBAve tfc .) k
6390	kampaḥ	kampaH	calane	calane		BAve	action / abstract (bhāve)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	kampaH¦, puM, (kapi calane + BAve GaY .) g
6403	kambalivāhyakaṃ	kambalivAhyakaM	vaha	vaha		karmaRi	object (karmaṇi)	ṇyat	Ryat	Participle	kṛt affix 'ṇyat' -> -ya; future passive participle / gerundive ('-ya') | anubandha: ṇ = ṇit -> vṛddhi (7.2.115); t = tit svarita accent		WIL	i iniH . kambaliBirvfzEruhyate . vaha + karmmaRi Ryat svAr
6404	kambiḥ	kambiH	kamba	kamba		karaRe	instrument (karaṇe)	in	in	Possessive — “having X”	taddhita affix 'in' -> -in; possessive '-in' ('having') | anubandha: matvartha (possessive) affix		WIL	Apnoti jAnAti vA annAdi anayA . kamba + karaRe in .) d
6425	karagrahaḥ	karagrahaH	graha	graha		aDikaraRe	location (adhikaraṇe)	ap	ap	Agent — the doer	kṛt affix 'ap' -> -a; action / agent noun | anubandha: p = pit -> anudātta affix (3.1.4)		WIL	yA gfhyate'tra vareReti yAvat . graha + aDikaraRe ap .) v
6427	karagharṣaṇaḥ	karaGarzaRaH				karmaRi	object (karmaṇi)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	ate'sO . kara + Gfz + [Page2-030-a+ 52] karmmaRi lyuw .) d
6445	karaṇaṃ	karaRaM				BAve	action / abstract (bhāve)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	edDanikasyATa daRqaleSaYca SaktitaH” .. BAve lyuw . kf
6447	karaṇatrāṇaṃ	karaRatrARaM				karmaRi	object (karmaṇi)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	hastAdikarmmendriyAdiBiH trAyate vA iti karmmaRi lyuw .) m
6470	karabhādanī	karaBAdanI	ad	ad		karmaRi	object (karmaṇi)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	trI, (karaBena uzwrena adyate'sO . ad + karmmaRi lyuw . ta
6475	karamarī	karamarI	kṝ	kF		aDikaraRe	location (adhikaraṇe)	ap	ap	Agent — the doer	kṛt affix 'ap' -> -a; action / agent noun | anubandha: p = pit -> anudātta affix (3.1.4)		WIL	atra daRqyAn iti karaH kArAgAraH . kF + aDikaraRe ap . ta
6476	karamarddaḥ	karamarddaH				karmaRi	object (karmaṇi)	ap	ap	Agent — the doer	kṛt affix 'ap' -> -a; action / agent noun | anubandha: p = pit -> anudātta affix (3.1.4)		WIL	kzode + karmmaRyaR . kareRa mfdyate iti karmmaRi ap vA .
6481	karamuktaṃ	karamuktaM	muc	muc		karmaRi	object (karmaṇi)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	tvA SatruM prati mucyate . kara + muc + karmmaRi ktaH .) a
6502	karāmbukaḥ	karAmbukaH	kṝ	kF		karmaRi	object (karmaṇi)	ap	ap	Agent — the doer	kṛt affix 'ap' -> -a; action / agent noun | anubandha: p = pit -> anudātta affix (3.1.4)		WIL	mbukaH¦, puM, (kIryyate kzipyate . kF + karmmaRi ap . ka
6516	karigarjjitaṃ	karigarjjitaM	garjja	garjja		BAve	action / abstract (bhāve)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	H garjjitaM garjjanaM . kari + garjja + BAve ktaH .) h
6517	karijaḥ	karijaH	jan	jan		kartari	agent (kartari)	ḍa	qa	Agent — the doer	kṛt affix 'ḍa' -> -a; agent noun (esp. after an upapada) | anubandha: ḍ = ḍit -> the ṭi of the base is elided (6.4.143)		WIL	puM, (kariRo jAyate iti . kari + jan + karttari qaH .) h
